Year,Armed forces personnel (% of total labor force),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)","Labor force, female (% of total labor force)","Labor force, total","Part time employment, female (% of total female employment)","Part time employment, male (% of total male employment)","Part time employment, total (% of total employment)",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)",Country Code
1999-01-01,0.4360506070547565,3.18533708868553,7.93217526176611,5.75218149804732,2.80597298431611,1.94503391097136,3.53715950972744,23.1216177950003,11.524310500416,32.971076772927,74.072415966038,86.5306555886127,63.4917637173456,45.78036414558143,16041716.0,48.58,26.89,36.84,81.37854824228194,12.9121516664082,20.3817003286804,16.9512969932787,7.293,7.828,7.583,9.726814577722626,12.449525066914267,11.199115495231363,CAN
2000-01-01,0.42002536217376674,3.26606488893744,7.4977339540039,5.54972666215991,2.51550830718723,1.65640907007354,3.24833668808962,23.2941717724786,11.4836708193657,33.3687591044313,74.1903133385593,86.8599201105607,63.3828920113219,45.9672506531701,16308539.0,46.46,25.19,34.98,82.1008984105045,12.3393839951754,19.3661315643377,16.1314443725788,6.695,6.943,6.829,9.073333403868304,11.86839761033372,10.5817111286435,CAN
2001-01-01,0.3985375540851938,2.93085015965868,7.29870890143317,5.27703003170325,2.16014075650182,1.34637294526369,2.86136863033346,23.0628245986799,11.3388852129227,33.1652396986662,74.7770216402263,87.3147558900919,63.9733916710004,46.10574244380937,16585639.0,49.53,28.76,38.37,82.67522620991173,11.1900015593589,18.7572692083838,15.2547395079101,6.857,7.529,7.219,8.259151399700205,11.458560306950638,9.977702973909985,CAN
2002-01-01,0.3609047577617226,2.9502891295893,7.03499122989565,5.13226344267233,2.11688334622641,1.36412654826563,2.77331509944406,23.2298609084546,11.5333686801825,33.4294497131135,74.6532557453189,87.1025184084536,63.7972351874424,46.31012674729021,17068215.0,50.57,29.33,39.21,83.42715481228856,11.5139224583952,18.4160180753337,15.2008976582447,7.125,8.13,7.665,8.56363332880588,11.381026845438093,10.068634215572397,CAN
2003-01-01,0.3527522492107598,2.86573277790481,7.07509677010554,5.10633008081086,2.10705300136028,1.32518103790648,2.79406822945513,22.9734168597968,11.3603440422794,33.1775902866471,74.9195239388382,87.3144881758665,64.0283414838977,46.561012023296996,17462681.0,53.56,32.78,42.49,84.30702172580534,11.4090982903009,18.9112640961942,15.4024175058373,7.158,7.936,7.574,8.543365512396063,11.836167326088688,10.296087425026442,CAN
2004-01-01,0.40174915925500765,2.96062718868472,7.28268879782362,5.25817064733623,2.02316752251052,1.28915662964504,2.66994930151988,23.0487901170324,11.3491012860953,33.3581007888127,74.9280423604571,87.3617420842596,63.971938430853,46.672472979398364,17672719.0,52.16,30.71,40.75,84.72072269068346,11.2903368682304,19.0776886256414,15.4299878558326,6.853,7.476,7.185,8.329722706461634,11.794999827817744,10.171817208496352,CAN
2005-01-01,0.3984624288933975,3.05299835019332,7.41944783576886,5.37597046580371,2.12205349747806,1.35801088174746,2.7941569122212,22.6904978612539,10.8300148195555,33.1239544359995,75.187442617225,87.811961426678,64.0818886517793,46.65246381947115,17818493.0,50.47,29.8,39.47,84.6975919998901,11.4923574317696,19.232727288374,15.6102714030183,6.465,7.015,6.758,8.439346209557243,11.81329077589199,10.234300937214599,CAN
2006-01-01,0.35485554385271545,3.04119655091131,7.10893621342512,5.19545283238723,2.11200086047843,1.38898370563822,2.75420910065335,22.1061931059389,10.4925736086787,32.4218019258224,75.7818119695542,88.1184553045481,64.8239889735243,46.89968255953755,18035508.0,51.77,31.67,41.1,85.56475809908329,11.4006887880389,18.7078973646458,15.270552958865,6.203,6.732,6.484,8.359492237127627,11.598961151220747,10.075100126477734,CAN
2007-01-01,0.3481568359506749,2.84759983226667,7.07578289319742,5.07744789962717,2.00090541489277,1.30953281160542,2.6204965372513,21.6658949425158,10.2355386469184,31.9095101194902,76.3331996425915,88.4549162659104,65.4700043443187,47.07876830815362,18382520.0,50.25,30.1,39.6,86.17338075936802,11.4369237235621,19.1342649691151,15.4963273143878,5.791,6.48,6.156,8.589323891295445,12.058482075917698,10.418879414760605,CAN
2008-01-01,0.34293045648973386,2.83836659937145,7.16157685940616,5.11715436662218,1.94085661831964,1.21108401124674,2.59557426849999,21.4598972700744,9.73962752556726,31.9747740013542,76.5992575561796,89.049288463186,65.4296517301458,47.031668984662225,18662676.0,51.24,31.48,40.81,86.00321733511159,11.41315843353,19.3153107616402,15.5784261344132,5.771,6.74,6.284,8.574791834158507,12.15373390223409,10.461271767791011,CAN
2009-01-01,0.3498076249673928,2.75789527881319,7.27202134546788,5.10823433062176,1.95407647866701,1.19539072510567,2.65254352776853,20.285225596963,8.9665293997072,30.7055297814866,77.760703745063,89.8380920184072,66.6419266907448,47.26387918783017,18788041.0,53.99,35.04,44.1,86.81732841944232,11.8869495356918,19.97737963521,16.0993382745196,7.166,9.619,8.46,9.129066400098704,12.70535828974212,10.991103943897802,CAN
2010-01-01,0.3460445267132681,2.6931739974098,7.14762465883421,5.0187006494685,1.80749588195158,1.1142394684722,2.44214716558846,20.1505184031391,8.57270995368432,30.7495840387037,78.0419857149093,90.3130505778435,66.8082907984213,47.371883992812386,18985996.0,52.87,33.01,42.48,87.21299104210628,11.5498515809474,19.7042527609827,15.8069939050586,7.357,8.917,8.178,8.856665566287095,12.556628102148439,10.78829325559013,CAN
2011-01-01,0.3431392288204362,2.77978139176594,6.742624814258,4.85842976195494,1.78791916996377,1.09841939645356,2.41290685951946,20.2853836490512,8.99900978765764,30.5159510276385,77.926697180985,89.9025708158888,67.0711421128421,47.31138924016701,19146747.0,51.73,32.82,41.79,87.05778549620459,11.4915439292797,19.0576661172827,15.4602365769577,7.175,8.051,7.637,8.71176253751372,12.31504130302471,10.601806815002757,CAN
